School_name,Longitude,Latitude,Cluster
"The Rivers Secondary College, Lismore High Campus",153.297294,-28.820823,1
Mungindi Central School,148.99085,-28.9802,3
Wauchope High School,152.731158,-31.450894,1
Kyogle High School,153.001529,-28.625772,1
Mullumbimby High School,153.494604,-28.558569,1
Ballina Coast High School,153.565058,-28.866603,1
Maclean High School,153.20149,-29.46644,1
"Hastings Secondary College, Port Macquarie Campus",152.92069,-31.433295,1
Tweed River High School,153.541012,-28.195651,1
Wingham High School,152.382261,-31.867397,1
South Grafton High School,152.929362,-29.714229,1
Orara High School,153.112879,-30.282811,1
"Hastings Secondary College, Westport Campus",152.895386,-31.435345,1
Melville High School,152.825104,-31.09002,1
Byron Bay High School,153.616057,-28.667572,0
Alstonville High School,153.433756,-28.838812,1
Nambucca Heads High School,152.984614,-30.640826,1
Barraba Central School,150.599478,-30.38239,1
Uralla Central School,151.494437,-30.641511,1
Inverell High School,151.110782,-29.765729,1
Narrabri High School,149.78267,-30.335548,1
Quirindi High School,150.680087,-31.501631,1
Gunnedah High School,150.248768,-30.982637,3
Wee Waa High School,149.442286,-30.22268,3
Oxley High School,150.939078,-31.077903,1
Collarenebri Central School,148.578086,-29.543823,3
Balranald Central School,143.564769,-34.635575,1
Guyra Central School,151.677369,-30.222577,1
Walcha Central School,151.604194,-30.981805,1
Lake Cargelligo Central School,146.373966,-33.294836,1
Lockhart Central School,146.714747,-35.222753,1
Oaklands Central School,146.171768,-35.552669,1
The Rock Central School,147.115239,-35.266335,1
Manilla Central School,150.728435,-30.750947,1
Farrer Memorial Agricultural High School,150.979996,-31.138453,1
Glen Innes High School,151.742487,-29.744294,1
Tamworth High School,150.916936,-31.105768,3
Bingara Central School,150.56725,-29.866705,1
Boggabilla Central School,150.361593,-28.616586,3
Bundarra Central School,151.077625,-30.168353,1
Warialda High School,150.574806,-29.547875,1
Peel High School,150.89299,-31.099764,3
Ardlethan Central School,146.900557,-34.354098,1
Ariah Park Central School,147.218018,-34.346925,1
Barellan Central School,146.571928,-34.287799,1
Batlow Technology School,148.146548,-35.523007,1
Coleambally Central School,145.884407,-34.804177,1
Coolamon Central School,147.201398,-34.811904,1
Albury High School,146.915442,-36.072846,1
Hay War Memorial High School,144.839262,-34.504747,1
Hillston Central School,145.54026,-33.479904,1
Junee High School,147.592765,-34.869115,1
Cootamundra High School,148.017191,-34.635419,1
Deniliquin High School,144.961269,-35.53627,1
James Fallon High School,146.928971,-36.060244,1
Finley High School,145.571271,-35.640413,1
West Wyalong High School,147.202014,-33.915793,1
Mount Austin High School,147.353865,-35.141908,3
Gundagai High School,148.099421,-35.057144,1
Barham High School,144.132055,-35.623,1
Kooringal High School,147.381528,-35.142886,1
Billabong High School,147.043931,-35.660874,1
Murray High School,146.946383,-36.035173,1
Boorowa Central School,148.726108,-34.436712,1
Braidwood Central School,149.798888,-35.440595,1
Tenterfield High School,152.016829,-29.053727,1
Macintyre High School,151.129187,-29.767546,1
Wagga Wagga High School,147.364366,-35.124438,1
Yanco Agricultural High School,146.383678,-34.632239,1
Young High School,148.291705,-34.317142,1
Leeton High School,146.405976,-34.54684,1
Narrandera High School,146.567177,-34.74421,1
Temora High School,147.539525,-34.441897,1
Corowa High School,146.381577,-35.993008,1
Murrumburrah High School,148.369808,-34.559162,1
Tumut High School,148.219291,-35.312212,1
Tumbarumba High School,148.018245,-35.783098,1
Tooleybuc Central School,143.338058,-35.026575,1
Tullibigeal Central School,146.722678,-33.422886,1
Ungarie Central School,146.977953,-33.637104,1
Goulburn High School,149.711241,-34.746861,1
Wollongong High School of the Performing Arts,150.889188,-34.406432,0
Bega High School,149.838766,-36.678459,1
Kiama High School,150.847197,-34.68066,0
Corrimal High School,150.91071,-34.374243,1
Monaro High School,149.134021,-36.216655,1
Nowra High School,150.609361,-34.872966,1
Dapto High School,150.785868,-34.499054,1
Illawarra Sports High School,150.853331,-34.480849,1
Queanbeyan High School,149.220484,-35.353243,1
Yass High School,148.911066,-34.835474,1
Moruya High School,150.08015,-35.920195,1
Woonona High School,150.910102,-34.345037,1
Bomaderry High School,150.602725,-34.844038,1
Crookwell High School,149.466967,-34.452754,1
Mulwaree High School,149.730169,-34.728245,1
Warrawong High School,150.875178,-34.480163,1
Kanahooka High School,150.805362,-34.494652,1
Karabar High School,149.224822,-35.365337,1
Narooma High School,150.128648,-36.235506,1
Smiths Hill High School,150.89561,-34.418889,0
Shoalhaven High School,150.610096,-34.897296,1
Batemans Bay High School,150.194447,-35.729246,1
Vincentia High School,150.662803,-35.077698,1
Oak Flats High School,150.83408,-34.559745,1
Baradine Central School,149.070198,-30.950736,3
Binnaway Central School,149.374951,-31.552793,3
Brewarrina Central School,146.859088,-29.963669,3
Coolah Central School,149.723624,-31.821024,1
Dunedoo Central School,149.392212,-32.018308,1
