School_code,School_name,Postcode,School_subtype,ICSEA_value,LBOTE_pct,Indigenous_pct,FOEI_Value,LGA,SA4,AECG_region,Local_health_district,Latitude,Longitude,Cluster
8540,Marrickville High School,2204,Year 7 to Year 12,1059.0,47.0,3.0,55.0,Inner West,Sydney - City and Inner South,Metropolitan East,Sydney,-33.905781,151.155995,0
8545,South Sydney High School,2035,Year 7 to Year 12,1033.0,42.0,5.0,75.0,Randwick,Sydney - Eastern Suburbs,Metropolitan East,South Eastern Sydney,-33.944154,151.234397,0
8555,Rose Bay Secondary College,2030,Year 7 to Year 12,1105.0,44.0,1.0,26.0,Waverley,Sydney - Eastern Suburbs,Metropolitan East,South Eastern Sydney,-33.878347,151.276121,0
8583,Menai High School,2234,Year 7 to Year 12,1046.0,37.0,2.0,69.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.002904,151.023851,0
8806,Canterbury Girls High School,2193,Year 7 to Year 12,1069.0,59.0,2.0,52.0,Canterbury-Bankstown,Sydney - Inner West,Metropolitan East,Sydney,-33.907264,151.122631,0
8832,Ashfield Boys High School,2131,Year 7 to Year 12,1063.0,64.0,2.0,53.0,Inner West,Sydney - Inner West,Metropolitan East,Sydney,-33.889547,151.129219,0
8852,The Jannali High School,2226,Year 7 to Year 12,1052.0,15.0,3.0,60.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.021612,151.061927,0
8247,Kingsgrove High School,2208,Year 7 to Year 12,983.0,86.0,1.0,114.0,Georges River,Sydney - Inner South West,Metropolitan East,South Eastern Sydney,-33.948519,151.101653,2
8159,Willoughby Girls High School,2068,Year 7 to Year 12,1147.0,61.0,15.594132029339853,8.0,Willoughby,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.803128,151.199957,0
8222,Asquith Girls High School,2077,Year 7 to Year 12,1075.0,30.0,2.0,49.0,Hornsby,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.689716,151.11275,0
8245,Asquith Boys High School,2077,Year 7 to Year 12,1044.0,19.0,3.0,65.0,Hornsby,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.692276,151.103016,0
8438,Pennant Hills High School,2120,Year 7 to Year 12,1105.0,33.0,1.0,28.0,Hornsby,Sydney - Ryde,Metropolitan North,Northern Sydney,-33.733692,151.061087,0
8512,Narrabeen Sports High School,2101,Year 7 to Year 12,1042.0,19.0,1.0,70.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.700941,151.298401,0
